Name,Website,MapsURL,Emails,Site_Title,Site_Description,LinkedIn,Facebook,Twitter,Instagram
Fourise Software Solutions Pvt. Ltd Pune,http://www.fouriseindia.com/,"https://www.google.com/maps/place/Fourise+Software+Solutions+Pvt.+Ltd+Pune/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c11464246d03:0x7ef94ccf7fe4a2d0!8m2!3d18.5611975!4d73.9447286!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11q_073v_m?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","dotlottie-wc@0.3.0, info@fouriseindia.com, hr@fouriseindia.com",Fourise Software Solutions Pvt. Ltd.,,https://www.linkedin.com/company/fourise-software-solutions-pvt-ltd/,https://www.facebook.com/fourise.india?mibextid=ZbWKwL,,https://www.instagram.com/fouriseindia
Persistent Systems Limited,https://www.persistent.com/,"https://www.google.com/maps/place/Persistent+Systems+Limited/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2bf779a0f6747:0xa86fd022dd20763d!8m2!3d18.5298881!4d73.8292915!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjFkR04xTTNkQlJSQULgAQD6AQQIABAm!16s%2Fg%2F1tm283xx?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","slick-carousel@1.8.1, popper.js@1.16.1, info@persistent.com",Re(AI)magining the World: AI & Digital Engineering with Persistent,Re(AI)magining the World with Persistent Systems: Transform your AI journey with a trusted partner in digital engineering and enterprise modernization services.,https://www.linkedin.com/company/persistent-systems,https://www.facebook.com/PersistentSystems,https://twitter.com/Persistentsys,https://www.instagram.com/persistent_systems/
Talentica Software (I) Pvt. Ltd.,https://www.talentica.com/,"https://www.google.com/maps/place/Talentica+Software+(I)+Pvt.+Ltd./@18.5563888,73.6205395,12z/data=!3m1!5s0x3bc2bedee7295e23:0xfd5ba309e99a89ca!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2beb53fecbc15:0xfa9400a70f22ac95!8m2!3d18.551364!4d73.7913754!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTndORFZYVkRKUlJSQULgAQD6AQQIABAM!16s%2Fg%2F1tksg77t?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",info@talentica.com,Software Product Development Company & Engineering Experts,"Talentica is a trusted product engineering and software product development company, helping startups and tech firms build innovative tech products",https://www.linkedin.com/company/talentica,https://www.facebook.com/talentica?ref=hl,https://x.com/Talentica,
"Antraweb Technologies Pvt. Ltd. - Tally on Cloud, Support, Customization, Integration & Solutions",http://www.antraweb.com/,"https://www.google.com/maps/place/Antraweb+Technologies+Pvt.+Ltd.+-+Tally+on+Cloud,+Support,+Customization,+Integration+%26+Solutions/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c07f8565eee3:0xa185eb526ceb86ef!8m2!3d18.533327!4d73.8468977!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F12q4vf3_8?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",info@antraweb.com,Best Tally Software Support Customization & Solutions Provider,"Get expert Tally solutions from Antraweb Technologies, your trusted 5-star Tally Certified Partner with over 32 years of experience in TallyPrime and Tally ERP 9. We offer additional services such as Tally Customisation, Tally Implementation, Support, Integration, and Solutions.",https://www.linkedin.com/company/antraweb-technologies-pvt-ltd,https://www.facebook.com/antraweb,https://twitter.com/antraweb,https://www.instagram.com/antraweb_technologies/
TIBCO Software India Pvt. Ltd,http://www.tibco.com/,"https://www.google.com/maps/place/TIBCO+Software+India+Pvt.+Ltd/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c11f7ff6aca5:0xd832f88d065de0f0!8m2!3d18.5558889!4d73.8919125!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmFiazVYYW1GUkVBReABAPoBBAgAEBs!16s%2Fg%2F1tfkts2l?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,Access Denied,,,,,
Zenture IT Solutions,https://zenture.in/,"https://www.google.com/maps/place/Zenture+IT+Solutions/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c1856ee53d17:0xc97c2a9548d17dd7!8m2!3d18.531373!4d73.8671744!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjBiaTFxVWxOM0VBReABAPoBBAgAECA!16s%2Fg%2F11n5wd3s1m?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",sales@zenture.in,Professional Web Design & Development - Digitalize your Business with us,"Professional agency specializing in website design, custom web development & digital marketing in Pune. Best web development company in Pune.",http://linkedin.com/company/zenture-tech,https://www.facebook.com/Zenture-103637674804909,,https://instagram.com/zenture.in?igshid=coosvqxkh1fv
BMC Software India,http://www.bmcsoftware.in/,"https://www.google.com/maps/place/BMC+Software+India/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2bf71aaaaaaab:0xc99cbe4b27f13125!8m2!3d18.5519507!4d73.8911707!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRkRXgxTlhSM1JSQULgAQD6AQQIABA-!16s%2Fg%2F11f6dpv209?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,,,,,,
Cybage Software,http://www.cybage.com/,"https://www.google.com/maps/place/Cybage+Software/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c11ae2bf451d:0x30c748dae5889df9!8m2!3d18.5470349!4d73.8977746!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm9lVnBmWlROM1JSQULgAQD6AQQIABAW!16s%2Fg%2F1thkvqkj?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","jQuery-Text-Counter@0.9.1, Whistleblower@cybage.com, Business@cybage.com, business@cybage.com, jquery-validation@1.17.0",Digital Product Engineering and Outsourced IT Services | Technology Consulting: Cybage,"Cybage, with over 7500 employees, is a leader in outsourced product engineering and technology consulting. The firm excels in leveraging advanced technologies like AI, ML, and cloud services to help 280+ clients reach their digital transformation goals.",https://www.linkedin.com/company/cybage,https://www.facebook.com/cybage,https://x.com/Cybagesoftware/highlights,https://www.instagram.com/cybage
Thoughtworks Technologies India Private Limited,http://www.thoughtworks.com/,"https://www.google.com/maps/place/Thoughtworks+Technologies+India+Private+Limited/@18.5563888,73.6205395,12z/data=!3m1!5s0x3bc2c11f789dc0b9:0xb4550e2e7f2a3f35!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c121d5548b61:0xcd58a64a848651e5!8m2!3d18.555971!4d73.8918998!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11b6c61b2h?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","backgroundverification-india@thoughtworks.com, ukpeoplesupport@thoughtworks.com, peoplesupport-apac@thoughtworks.com, sg-th-sharedservices@thoughtworks.com, peoplesupport-na@thoughtworks.com, peoplesupport-china@thoughtworks.com",Thoughtworks: A leading technology consultancy | Thoughtworks,"We are laser-focused on transforming your digital journey so you can make extraordinary impact today, tomorrow and beyond. ",https://www.linkedin.com/company/thoughtworks/,https://www.facebook.com/Thoughtworks,https://x.com/thoughtworks/,https://www.instagram.com/thoughtworks/
Ascent Software Solutions | Since 2010,https://www.ascentindia.dev/,"https://www.google.com/maps/place/Ascent+Software+Solutions+%7C+Since+2010/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c07159d3d823:0xb6171fdf92fc2cfb!8m2!3d18.4926281!4d73.8562473!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUklOUzFQV1d4QlJSQULgAQD6AQQIHRBL!16s%2Fg%2F11d_8zhct3?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",accascent@gmail.com,"Best Tally Prime software & customization (TDL) provider | Pune, India since 2010","Best Tally software sales and customization partner since 2010, with more than 1000 happy customers across India located in Pune",https://www.linkedin.com/company/ascent-softwaresolutions/,https://www.facebook.com/ascentsoftwareindia,,https://www.instagram.com/ascent_software_solutions/
Alchemist Softwares Pvt Ltd,http://www.alchemistsoftwares.com/,"https://www.google.com/maps/place/Alchemist+Softwares+Pvt+Ltd/@18.5563888,73.6205395,12z/data=!3m1!5s0x3bc2c05a1a2f2a57:0xe4ccad088fcaccb!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c1bd3b2062ef:0x9f9ca01738de6a9b!8m2!3d18.5252764!4d73.8757409!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11gy5_xyq3?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","sales@alchemistsoftwares.com, info@alchemistsoftwares.com, support@alchemistsoftwares.com",ASPL An ISO 9001:2015 Certified,,,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FAlchemistSoftwareIndia&sa=D&sntz=1&usg=AOvVaw1ORqbrKCXDt2gOSK79bRZl,,
Newton Software Private Limited,http://www.newtonindia.com/,"https://www.google.com/maps/place/Newton+Software+Private+Limited/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2bf8dbf6f561f:0x7bb5c5e86ef9aa17!8m2!3d18.5083371!4d73.8311086!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F1v26kkbr?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,,,,,,
"Cloud9 Technologies-ERP Software in Pune, ERP Software in Mumbai,Bangalore,Rajkot,Nashik,Chennai,Ahmedabad",http://www.pmtrackerp.in/,"https://www.google.com/maps/place/Cloud9+Technologies-ERP+Software+in+Pune,+ERP+Software+in+Mumbai,Bangalore,Rajkot,Nashik,Chennai,Ahmedabad/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c115881949ed:0xefe7887e6c7d9ab1!8m2!3d18.5988701!4d73.8282598!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11bz_7x67l?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,,,,,,
MPLUSSOFT,https://www.mplussoft.com/,"https://www.google.com/maps/place/MPLUSSOFT/@18.5563888,73.6205395,12z/data=!3m1!5s0x3bc2c13a0409d645:0x50aa836f18267b07!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c7283e33be27:0x92e5786212fca783!8m2!3d18.5682693!4d73.9061737!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F12hkjqp21?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",sales@mplussoft.com,Software Development Company In Pune India | Mplussoft,"Mplussoft is Best Software Development Company in Pune India‭, We also specialize in website designing‭ & ‬development‭,‭ eCommerce‭,‭ Mobile App and servers.",https://www.linkedin.com/company/mplussoft-technologies,https://www.facebook.com/MplussoftIndia,https://twitter.com/mplussoft,https://www.instagram.com/mplussoft_/
"AST Applications Software Technology, an IBM Company",https://astcorporation.com/,"https://www.google.com/maps/place/AST+Applications+Software+Technology,+an+IBM+Company/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c1f80109f139:0xb10480684abd8e5a!8m2!3d18.5647612!4d73.9180174!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvTmxGWVduQlZWR1J1WTFoT01sWXlNVFZUYWtwMVlWZHdObEZWUlJBQuABAPoBBAgAEA8!16s%2Fg%2F11ff5ncrrb?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,,,,,,
